HS 2012 Product Code,HS 2012 Product Description,HS 1988/92 Product Code,HS 1988/92 Product Description
020319,Other,020319,"Fresh or chilled swine meat, nes (unboned)"
020321,Carcasses and half-carcasses,020321,Frozen swine carcasses and half carcasses
020322,"Hams, shoulders and cuts thereof, with bone in",020322,"Frozen unboned hams, shoulders and cuts thereof"
020329,Other,020329,"Frozen swine meat, nes"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",020410,Fresh or chilled lamb carcasses and half carcas
020421,Carcasses and half-carcasses,020421,Fresh or chilled sheep carcasses and half carca
020422,Other cuts with bone in,020422,Fresh or chilled unboned meat of sheep
020423,Boneless,020423,Fresh or chilled boneless meat of sheep
020430,"Carcasses and half-carcasses of lamb, frozen",020430,Frozen lamb carcasses and half carcasses
020441,Carcasses and half-carcasses,020441,Frozen sheep carcasses and half carcasses (excl
020442,Other cuts with bone in,020442,Frozen unboned meat of sheep
020443,Boneless,020443,Frozen boned meat of sheep
020450,Meat of goats,020450,"Fresh, chilled or frozen goat meat"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",020500,"Meat of horses, asses, mules or hinnies, fresh,"
020610,"Of bovine animals, fresh or chilled",020610,Fresh or chilled edible bovine offal
020621,Tongues,020621,Frozen bovine tongues
020622,Livers,020622,Frozen bovine livers
020629,Other,020629,Frozen edible bovine offal (excl. tongues and l
020630,"Of swine, fresh or chilled",020630,Fresh or chilled edible swine offal
020641,Livers,020641,Frozen swine livers
020649,Other,020649,Frozen edible swine offal (excl. livers)
020680,"Other, fresh or chilled",020680,"Fresh or chilled edible offal of sheep, goats,"
020690,"Other, frozen",020690,"Frozen edible offal of sheep, goats, horses..."
020711,"Not cut in pieces, fresh or chilled",020710,Fresh or chilled whole poultry
020712,"Not cut in pieces, frozen",020721,Frozen whole chickens
020713,"Cuts and offal, fresh or chilled",020739,Fresh or chilled poultry cuts and offal (excl.
020714,"Cuts and offal, frozen",020741,Frozen cuts and offal of chicken (excl. livers)
020724,"Not cut in pieces, fresh or chilled",020710,Fresh or chilled whole poultry
020725,"Not cut in pieces, frozen",020722,Frozen whole turkeys
020726,"Cuts and offal, fresh or chilled",020739,Fresh or chilled poultry cuts and offal (excl.
020727,"Cuts and offal, frozen",020742,Frozen cuts and offal of turkey (excl. livers)
020741,"Not cut in pieces, fresh or chilled",020710,Fresh or chilled whole poultry
020742,"Not cut in pieces, frozen",020723,"Frozen whole ducks, geese and guinea fowls"
020743,"Fatty livers, fresh or chilled",020731,Fresh or chilled fatty livers of geese or ducks
020744,"Other, fresh or chilled",020739,Fresh or chilled poultry cuts and offal (excl.
020745,"Other, frozen",020743,"Frozen cuts and offal of geese, ducks and guine"
020751,"Not cut in pieces, fresh or chilled",020710,Fresh or chilled whole poultry
020752,"Not cut in pieces, frozen",020723,"Frozen whole ducks, geese and guinea fowls"
020753,"Fatty livers, fresh or chilled",020731,Fresh or chilled fatty livers of geese or ducks
020754,"Other, fresh or chilled",020739,Fresh or chilled poultry cuts and offal (excl.
020755,"Other, frozen",020743,"Frozen cuts and offal of geese, ducks and guine"
020760,Of guinea fowls,020743,"Frozen cuts and offal of geese, ducks and guine"
020810,Of rabbits or hares,020810,"Fresh, chilled or frozen meat and edible offal"
020830,Of primates,020890,"Fresh, chilled or frozen meat and edible offal,"
020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",020890,"Fresh, chilled or frozen meat and edible offal,"
020850,Of reptiles (including snakes and turtles),020890,"Fresh, chilled or frozen meat and edible offal,"
020860,Of camels and other camelids (Camelidae),020890,"Fresh, chilled or frozen meat and edible offal,"
020890,Other,020890,"Fresh, chilled or frozen meat and edible offal,"
020910,Of pigs,020900,"Pig and poultry fat, fresh, chilled, frozen, sa"
020990,Other,020900,"Pig and poultry fat, fresh, chilled, frozen, sa"
021011,"Hams, shoulders and cuts thereof, with bone in",021011,"Unboned swine hams, shoulders and cuts thereof,"
021012,Bellies (streaky) and cuts thereof,021012,"Bellies and cuts thereof of swine, salted... or"
021019,Other,021019,"Meat of swine, salted... or smoked, nes"
021020,Meat of bovine animals,021020,"Meat of bovine animals, salted... or smoked"
021091,Of primates,021090,"Other meat, nes, salted... or smoked; flours an"
021092,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)",021090,"Other meat, nes, salted... or smoked; flours an"
021093,Of reptiles (including snakes and turtles),021090,"Other meat, nes, salted... or smoked; flours an"
021099,Other,021090,"Other meat, nes, salted... or smoked; flours an"
030111,Freshwater,030110,Live ornamental fish
030119,Other,030110,Live ornamental fish
030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030191,Live trout
030192,Eels (Anguilla spp.),030192,Live eels
030193,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",030193,Live carp
030194,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",030199,Other live fish
030195,Southern bluefin tunas (Thunnus maccoyii),030199,Other live fish
030199,Other,030199,Other live fish
030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030211,Fresh or chilled trout
030213,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",030212,"Fresh or chilled Pacific, Atlantic and Danube s"
030214,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),030212,"Fresh or chilled Pacific, Atlantic and Danube s"
030219,Other,030219,Fresh or chilled salmonidae (excl. 0302.11 and
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",030221,Fresh or chilled halibut
030222,Plaice (Pleuronectes platessa),030222,Fresh or chilled plaice
030223,Sole (Solea spp.),030223,Fresh or chilled sole
030224,Turbots (Psetta maxima),030229,"Fresh or chilled flat fish (excl. halibut, plai"
030229,Other,030229,"Fresh or chilled flat fish (excl. halibut, plai"
030231,Albacore or longfinned tunas (Thunnus alalunga),030231,Fresh or chilled albacore or longfinned tunas
030232,Yellowfin tunas (Thunnus albacares),030232,Fresh or chilled yellowfin tunas
030233,Skipjack or stripe-bellied bonito,030233,Fresh or chilled skipjack or stripe-bellied bon
030234,Bigeye tunas (Thunnus obesus),030239,"Fresh or chilled tunas, nes"
030235,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",030239,"Fresh or chilled tunas, nes"
030236,Southern bluefin tunas (Thunnus maccoyii),030239,"Fresh or chilled tunas, nes"
030239,Other,030239,"Fresh or chilled tunas, nes"
030241,"Herrings (Clupea harengus, Clupea pallasii)",030240,Fresh or chilled herrings (excl. livers and roe
030242,Anchovies (Engraulis spp.),030269,"Fresh or chilled fish, nes"
030243,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",030261,"Fresh or chilled sardines, brisling or sparts"
030244,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",030264,Fresh or chilled mackerel
030245,Jack and horse mackerel (Trachurus spp.),030269,"Fresh or chilled fish, nes"
030246,Cobia (Rachycentron canadum),030269,"Fresh or chilled fish, nes"
030247,Swordfish (Xiphias gladius),030269,"Fresh or chilled fish, nes"
030251,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030250,Fresh or chilled cod (excl. livers and roes)
030252,Haddock (Melanogrammus aeglefinus),030262,Fresh or chilled haddock
030253,Coalfish (Pollachius virens),030263,Fresh or chilled coalfish
030254,"Hake (Merluccius spp., Urophycis spp.)",030269,"Fresh or chilled fish, nes"
030255,Alaska Pollack (Theragra chalcogramma),030269,"Fresh or chilled fish, nes"
030256,"Blue whitings (Micromesistius poutassou, Micromesistius australis)",030269,"Fresh or chilled fish, nes"
030259,Other,030269,"Fresh or chilled fish, nes"
030271,Tilapias (Oreochromis spp.),030269,"Fresh or chilled fish, nes"
030272,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030269,"Fresh or chilled fish, nes"
030273,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",030269,"Fresh or chilled fish, nes"
030274,Eels (Anguilla spp.),030266,Fresh or chilled eels
030279,Other,030269,"Fresh or chilled fish, nes"
030281,Dogfish and other sharks,030265,Fresh or chilled dogfish and other sharks
030282,Rays and skates (Rajidae),030269,"Fresh or chilled fish, nes"
030283,Toothfish (Dissostichus spp.),030269,"Fresh or chilled fish, nes"
030284,Seabass (Dicentrarchus spp.),030269,"Fresh or chilled fish, nes"
030285,Seabream (Sparidae),030269,"Fresh or chilled fish, nes"
030289,Other,030269,"Fresh or chilled fish, nes"
030290,Livers and roes,030270,Fresh or chilled fish livers and roes
030311,Sockeye salmon (red salmon) (Oncorhynchus nerka),030310,Frozen Pacific salmon
030312,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",030310,Frozen Pacific salmon
030313,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),030322,Frozen Atlantic and Danube salmon
030314,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030321,Frozen trout
030319,Other,030329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan"
030323,Tilapias (Oreochromis spp.),030379,"Frozen fish, nes"
030324,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030379,"Frozen fish, nes"
030325,"Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",030379,"Frozen fish, nes"
030326,Eels (Anguilla spp.),030376,Frozen eels
030329,Other,030379,"Frozen fish, nes"
030331,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",030331,Frozen halibut
030332,Plaice (Pleuronectes platessa),030332,Frozen plaice
030333,Sole (Solea spp.),030333,Frozen sole
030334,Turbots (Psetta maxima),030339,"Frozen flat fish (excl. halibut, plaice and sol"
030339,Other,030339,"Frozen flat fish (excl. halibut, plaice and sol"
030341,Albacore or longfinned tunas (Thunnus alalunga),030341,Frozen albacore or longfinned tunas
030342,Yellowfin tunas (Thunnus albacares),030342,Frozen yellowfin tunas
030343,Skipjack or strip-bellied bonito,030343,Frozen skipjack or stripe-bellied bonito
030344,Bigeye tunas (Thunnus obesus),030349,"Frozen tunas, nes"
030345,"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",030349,"Frozen tunas, nes"
030346,Southern bluefin tunas (Thunnus maccoyii),030349,"Frozen tunas, nes"
030349,Other,030349,"Frozen tunas, nes"
030351,"Herrings (Clupea harengus, Clupea pallasii)",030350,Frozen herrings (excl. livers and roes)
030353,"Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",030371,"Frozen sardines, brisling or sprats"
030354,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",030374,Frozen mackerel
030355,Jack and horse mackerel (Trachurus spp.),030379,"Frozen fish, nes"
030356,Cobia (Rachycentron canadum),030379,"Frozen fish, nes"
030357,Swordfish (Xiphias gladius),030379,"Frozen fish, nes"
030363,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030360,Frozen cod (excl. livers and roes)
030364,Haddock (Melanogrammus aeglefinus),030372,Frozen haddock
030365,Coalfish (Pollachius virens),030373,Frozen coalfish
030366,"Hake (Merluccius spp., Urophycis spp.)",030378,Frozen hake
030367,Alaska Pollack (Theragra chalcogramma),030379,"Frozen fish, nes"
030368,"Blue whitings (Micromesistius poutassou, Micromesistius australis)",030379,"Frozen fish, nes"
030369,Other,030379,"Frozen fish, nes"
030381,Dogfish and other sharks,030375,Frozen dogfish and sharks
030382,Rays and skates (Rajidae),030379,"Frozen fish, nes"
030383,Toothfish (Dissostichus spp.),030379,"Frozen fish, nes"
030384,Seabass (Dicentrarchus spp.),030377,Frozen sea-bass
030389,Other,030379,"Frozen fish, nes"
030390,Livers and roes,030380,Frozen fish livers and roes
030431,Tilapias (Oreochromis spp.),030410,Fresh or chilled fish fillets
030432,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030410,Fresh or chilled fish fillets
030433,Nile Perch (Lates niloticus),030410,Fresh or chilled fish fillets
030439,Other,030410,Fresh or chilled fish fillets
030441,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Huchohucho)",030410,Fresh or chilled fish fillets
030442,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030410,Fresh or chilled fish fillets
030443,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",030410,Fresh or chilled fish fillets
030444,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030410,Fresh or chilled fish fillets
030445,Swordfish (Xiphias gladius),030410,Fresh or chilled fish fillets
030446,Toothfish (Dissostichus spp.),030410,Fresh or chilled fish fillets
030449,Other,030410,Fresh or chilled fish fillets
030451,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030410,Fresh or chilled fish fillets
030452,Salmonidae,030410,Fresh or chilled fish fillets
030453,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030410,Fresh or chilled fish fillets
030454,Swordfish (Xiphias gladius),030410,Fresh or chilled fish fillets
030455,Toothfish (Dissostichus spp.),030410,Fresh or chilled fish fillets
030459,Other,030410,Fresh or chilled fish fillets
030461,Tilapias (Oreochromis spp.),030420,Frozen fish fillets
030462,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)",030420,Frozen fish fillets
030463,Nile Perch (Lates niloticus),030420,Frozen fish fillets
030469,Other,030420,Frozen fish fillets
030471,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030420,Frozen fish fillets
030472,Haddock (Melanogrammus aeglefinus),030420,Frozen fish fillets
030473,Coalfish (Pollachius virens),030420,Frozen fish fillets
030474,"Hake (Merluccius spp., Urophycis spp.)",030420,Frozen fish fillets
030475,Alaska Pollack (Theragra chalcogramma),030420,Frozen fish fillets
030479,Other,030420,Frozen fish fillets
030481,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Huchohucho)",030420,Frozen fish fillets
030482,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030420,Frozen fish fillets
030483,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)",030420,Frozen fish fillets
030484,Swordfish (Xiphias gladius),030420,Frozen fish fillets
030485,Toothfish (Dissostichus spp.),030420,Frozen fish fillets
030486,"Herrings (Clupea harengus, Clupea pallasii)",030420,Frozen fish fillets
030487,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)",030420,Frozen fish fillets
030489,Other,030420,Frozen fish fillets
030491,Swordfish (Xiphias gladius),030490,Frozen fish meat (excl. fillets)
030492,Toothfish (Dissostichus spp.),030490,Frozen fish meat (excl. fillets)
030493,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030490,Frozen fish meat (excl. fillets)
030494,Alaska Pollack (Theragra chalcogramma),030490,Frozen fish meat (excl. fillets)
030495,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theragra chalcogramma)",030490,Frozen fish meat (excl. fillets)
030499,Other,030490,Frozen fish meat (excl. fillets)
030510,"Flours, meals and pellets of fish, fit for human consumption",030510,"Flours, meals and pellets of fish, fit for huma"
030520,"Livers and roes of fish, dried, smoked, salted or in brine",030520,"Livers and roes, dried, smoked, salted or in br"
030531,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030530,"Fish fillets, dried, salted or in brine, but no"
030532,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae",030530,"Fish fillets, dried, salted or in brine, but no"
030539,Other,030530,"Fish fillets, dried, salted or in brine, but no"
030541,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",030541,"Smoked Pacific, Atlantic and Danube salmon (inc"
030542,"Herrings (Clupea harengus, Clupea pallasii)",030542,Smoked herrings (incl. fillets)
030543,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",030549,Smoked fish (excl. salmon and herrings)
030544,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030549,Smoked fish (excl. salmon and herrings)
030549,Other,030549,Smoked fish (excl. salmon and herrings)
030551,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030551,"Dried cod, not smoked"
030559,Other,030559,"Dried fish, not smoked (excl. cod)"
030561,"Herrings (Clupea harengus, Clupea pallasii)",030561,Herrings salted or in brine but not dried or sm
030562,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",030562,Cod salted or in brine but not dried or smoked
030563,Anchovies (Engraulis spp.),030563,Anchovies salted or in brine but not dried or s
030564,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla sp",030569,Other fish salted or in brine but not dried or
030569,Other,030569,Other fish salted or in brine but not dried or
030571,Shark fins,030559,"Dried fish, not smoked (excl. cod)"
030572,"Fish heads, tails and maws",030559,"Dried fish, not smoked (excl. cod)"
030579,Other,030559,"Dried fish, not smoked (excl. cod)"
030611,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",030611,Frozen rock lobster and other sea crawfish
030612,Lobsters (Homarus spp.),030612,Frozen lobsters
030614,Crabs,030614,Frozen crabs
030615,Norway lobsters (Nephrops norvegicus),030619,"Frozen crustaceans,nes,including flours,meals &"
030616,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)",030613,Frozen shrimps and prawns
030617,Other shrimps and prawns,030613,Frozen shrimps and prawns
030619,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",030619,"Frozen crustaceans,nes,including flours,meals &"
030621,"Rock lobster and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.)",030621,Rock lobster and other sea crawfish (excl. froz
030622,Lobsters (Homarus spp.),030622,Lobsters (excl.frozen)
030624,Crabs,030624,Crabs (excl.frozen)
030625,Norway lobsters (Nephrops norvegicus),030629,"Crustaceans not frozen,nes,includ.flours,meals,"
030626,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon)",030623,Shrimps and prawns (excl. frozen)
030627,Other shrimps and prawns,030623,Shrimps and prawns (excl. frozen)
030629,"Other, including flours, meals and pellets of crustaceans, fit for human consumption",030629,"Crustaceans not frozen,nes,includ.flours,meals,"
030711,"Live, fresh or chilled",030710,Oysters
030719,Other,030710,Oysters
030721,"Live, fresh or chilled",030721,"Scallops, live, fresh or chilled"
030729,Other,030729,"Scallops (excl. live, fresh or chilled)"
030731,"Live, fresh or chilled",030731,"Mussels, live, fresh or chilled"
030739,Other,030739,"Mussels (excl. live, fresh or chilled)"
030741,"Live, fresh or chilled",030741,"Cuttle fish and squid, live, fresh or chilled"
030749,Other,030749,"Cuttle fish and squid (excl. live, fresh or chi"
030751,"Live, fresh or chilled",030751,"Octopus live, fresh or chilled"
030759,Other,030759,"Octopus (excl. live, fresh or chilled)"
030760,"Snails, other than sea snails",030760,Snails other than sea snails
030771,"Live, fresh or chilled",030791,"Aquatic invertebrates, nes, live, fresh or chil"
030779,Other,030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
030781,"Live, fresh or chilled",030791,"Aquatic invertebrates, nes, live, fresh or chil"
030789,Other,030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
030791,"Live, fresh or chilled",030791,"Aquatic invertebrates, nes, live, fresh or chil"
030799,Other,030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
030811,"Live, fresh or chilled",030791,"Aquatic invertebrates, nes, live, fresh or chil"
030819,Other,030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
030821,"Live, fresh or chilled",030791,"Aquatic invertebrates, nes, live, fresh or chil"
030829,Other,030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
030830,Jellyfish (Rhopilema spp.),030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
030890,Other,030799,"Aquatic invertebrates,nes,includ.flours,meals,p"
040110,"Of a fat content, by weight, not exceeding 1 %",040110,"Milk and cream of =<1% fat, not concentrated or"
040120,"Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",040120,"Milk and cream of >1% but =<6% fat, not concent"
040140,"Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",040130,"Milk and cream of >6% fat, not concentrated or"
040150,"Of a fat content, by weight, exceeding 10 %",040130,"Milk and cream of >6% fat, not concentrated or"
040210,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",040210,Milk and cream in solid forms of =<1.5% fat
040221,Not containing added sugar or other sweetening matter,040221,"Milk and cream in solid forms of >1.5% fat, uns"
040229,Other,040229,"Milk and cream in solid forms of >1.5% fat, swe"
040291,Not containing added sugar or other sweetening matter,040291,"Concentrated milk and cream, unsweetened (excl."
040299,Other,040299,Sweetened milk and cream (excl. in solid form)
040310,Yogurt,040310,Yogurt
040390,Other,040390,"Buttermilk, curdled milk and cream, etc (excl."
040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",040410,"Whey & modified whey, concentrated or not, or c"
040490,Other,040490,Products consisting of natural milk constituent
040510,Butter,040500,Butter and other fats and oils derived from mil
040520,Dairy spreads,040500,Butter and other fats and oils derived from mil
040590,Other,040500,Butter and other fats and oils derived from mil
040610,"Fresh (unripened or uncured) cheese, including whey cheese, and curd",040610,"Fresh (unripened or uncured) cheese, including"
040620,"Grated or powdered cheese, of all kinds",040620,Grated or powdered cheese
040630,"Processed cheese, not grated or powdered",040630,"Processed cheese, not grated or powdered"
040640,Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,040640,Blue-veined cheese
040690,Other cheese,040690,"Cheese, nes"
040711,Of fowls of the species Gallus domesticus,040700,"Birds' eggs, in shell, fresh, preserved or cook"
040719,Other,040700,"Birds' eggs, in shell, fresh, preserved or cook"
